track_id,track_name,artist_name,album_name,release_date,popularity,track_url,artist_id,genres
5rRuCahty3ZYpUKopigN5c,Naila,Rodolfo Aicardi,Historia Musical de Rodolfo Aicardi: 40 Éxitos Inolvidables,2012-12-06,32,https://open.spotify.com/track/5rRuCahty3ZYpUKopigN5c,3IUAZiICL3J7GlHYPgT414,"['música tropical', 'cumbia', 'cumbia sonidera']"
5veJDT0MLsLbhYsx42GXUD,Don't Stand So Close To Me,The Police,Zenyatta Mondatta (Remastered 2003),1980-10-03,69,https://open.spotify.com/track/5veJDT0MLsLbhYsx42GXUD,5NGO30tJxFlKixkPSgXcFE,[]
60uesDF4UyLUs61FgiDkdp,Hello,Ice Cube,War & Peace Vol. 2 (The Peace Disc),2000-02-29,62,https://open.spotify.com/track/60uesDF4UyLUs61FgiDkdp,3Mcii5XWf6E0lrY3Uky4cA,"['gangster rap', 'west coast hip hop', 'g-funk']"
62ZLovrHKylEx0IXECOqoE,Omo Chango - Zepherin Saint Thunder Mix,Zepherin Saint,Omo Chango,2021-01-22,1,https://open.spotify.com/track/62ZLovrHKylEx0IXECOqoE,10cgCwQ5XXirdZEPR6BuDD,[]
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,Aftermath,1966-04-15,79,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,22bE4uQ6baNwSHPVcDxLCe,"['classic rock', 'rock']"
63mBIczqBJOxSs3y5JutUR,Tuk Tuk (feat. ÄTNA),Solomun,Nobody Is Not Loved,2021-05-28,51,https://open.spotify.com/track/63mBIczqBJOxSs3y5JutUR,5wJK4kQAkVGjqM9x46KQOC,"['melodic techno', 'minimal techno', 'techno', 'deep house', 'melodic house']"
65ES1qwOB577ZnTkizMXJJ,HUMBLE. - SKRILLEX REMIX,Skrillex,HUMBLE. (SKRILLEX REMIX),2017-09-29,66,https://open.spotify.com/track/65ES1qwOB577ZnTkizMXJJ,5he5w2lnU9x7JFhnwcekXX,"['dubstep', 'edm', 'electro', 'electronic']"
69mA9DLEiBYic72gJ99JVC,1998 - Ronski Speed Remix,Binary Finary,1998,2005-01-01,18,https://open.spotify.com/track/69mA9DLEiBYic72gJ99JVC,5suoHSdDiYsjikHNVdYYKe,"['trance', 'eurotrance']"
69xVp5nLMHBlD7KWdm3YEP,Plastic (Scheinizzl Remix),Klangkarussell,Plastic (Scheinizzl Remix),2021-08-19,37,https://open.spotify.com/track/69xVp5nLMHBlD7KWdm3YEP,041iTeoMIwXMlShuQPIVKo,[]
6BZI2CvBCtzBwcfNdlWWe0,She's the One,Caribou,Andorra,2007-08-17,15,https://open.spotify.com/track/6BZI2CvBCtzBwcfNdlWWe0,4aEnNH9PuU1HF3TsZTru54,"['indietronica', 'idm']"
6Cx9AmfmurZ0L8h46HuH3X,+57,KAROL G,+57,2024-11-08,45,https://open.spotify.com/track/6Cx9AmfmurZ0L8h46HuH3X,790FomKkXshlbRYZFtlgla,"['reggaeton', 'latin', 'urbano latino']"
6DFsOKG0Xlf441cChjW8lV,Cosmic Witch (feat. Anané) - Mochakk Remix,Louie Vega,Cosmic Witch (feat. Anané) [Mochakk Remix],2023-02-03,38,https://open.spotify.com/track/6DFsOKG0Xlf441cChjW8lV,5dncbrnveDMX9DgxcedeUg,"['latin house', 'deep house', 'disco house', 'chicago house', 'house', 'funky house']"
6DjKJgwe9c90Bd2iya0fre,Can't Stand Losing You,The Police,Outlandos D'Amour (Remastered 2003),1978-11-02,62,https://open.spotify.com/track/6DjKJgwe9c90Bd2iya0fre,5NGO30tJxFlKixkPSgXcFE,[]
6FcSOy73KbXbI1hFZHmhEE,Sin un Adios,Mari Trini,70s los Años Jovenes - la Coleccion,2013-02-01,17,https://open.spotify.com/track/6FcSOy73KbXbI1hFZHmhEE,0CVHw8AAgA5brxfblp1lsQ,['bolero']
6Gdh79lRl3N1cBngvCtt3p,Free Yourself - Zepherin Saint Tribe Vocal,DJ SGZ,Free Yourself,2020-10-09,12,https://open.spotify.com/track/6Gdh79lRl3N1cBngvCtt3p,4A4LpjcwjFK3Ucw9SMBZ7P,[]
6HjzGcCtnFNfzA3N1ftR2v,Suga Honey Iced Tea,Kelis,Tasty,2003-12-05,38,https://open.spotify.com/track/6HjzGcCtnFNfzA3N1ftR2v,0IF46mUS8NXjgHabxk2MCM,[]
6KefI4XIu12G4g3nb8w79i,Leave It All Behind,Mochakk,Leave It All Behind,2020-02-07,19,https://open.spotify.com/track/6KefI4XIu12G4g3nb8w79i,0rTh1tAdrEbdKZBTiiAQSo,"['tech house', 'house']"
6LGwYMXXgURfaequXipzHx,You Don't Know My Name,Alicia Keys,The Diary Of Alicia Keys,2003-12-02,65,https://open.spotify.com/track/6LGwYMXXgURfaequXipzHx,3DiDSECUqqY1AuBP8qtaIa,"['r&b', 'neo soul']"
6PBsZe5YuE3r6dOmssmIFI,Mi Primera Cana,Diomedes Diaz,Titulo De Amor,1993,51,https://open.spotify.com/track/6PBsZe5YuE3r6dOmssmIFI,66NweiA3nU84k1S3SZdTSG,['vallenato']
6X6Bc8bxHisWVopCwHLfX3,Diu Diu Lai,Victor Lou,Diu Diu Lai,2021-03-12,46,https://open.spotify.com/track/6X6Bc8bxHisWVopCwHLfX3,063wYkWkHrq5L5YWdrqjEt,"['brazilian bass', 'electronic', 'tech house']"
6Y99Pdmhbg5GhAAxwjcbhR,Forever (Solomun Remix),Weval,Forever (Solomun Remix),2023-08-16,41,https://open.spotify.com/track/6Y99Pdmhbg5GhAAxwjcbhR,12tZvy2xFpWSkuJ3FsfisZ,[]
6cfVDaIdvDtYH91RqC6Wox,Hol' Up,Kendrick Lamar,Section.80,2011-07-02,61,https://open.spotify.com/track/6cfVDaIdvDtYH91RqC6Wox,2YZyLoL8N0Wb9xBt1NhZWg,"['hip hop', 'west coast hip hop']"
6dubZKTg6gYHKWanna7xZK,How You Livin',Tha Eastsidaz,Snoop Dogg Presents Tha Eastsidaz,2000-02-01,15,https://open.spotify.com/track/6dubZKTg6gYHKWanna7xZK,51FyBBOW464toW099BsW8z,"['g-funk', 'west coast hip hop', 'gangster rap']"
6edS0CtcaJ9RoE5dFQfhCD,La Mujer Del Policia,El Sayayín,"El Mismo Saya, Vol. 1",2016-06-18,28,https://open.spotify.com/track/6edS0CtcaJ9RoE5dFQfhCD,1sZj8fq4nSJnPycjQ2i7sp,['champeta']
6es8cQJzxyzPLFld93QefB,Continental,Vitess,Missed Fly EP,2020-03-13,10,https://open.spotify.com/track/6es8cQJzxyzPLFld93QefB,5DIVjY3STr8n4tEoN0dmui,"['acid house', 'lo-fi house']"
6hNOwFZiy48Fhh7tmCkwUK,Yamulemau,Joe Arroyo,Echao Pa'lante,1987-11-24,43,https://open.spotify.com/track/6hNOwFZiy48Fhh7tmCkwUK,7BFnoFhJjLWcsqmN3Hizqg,"['salsa', 'merengue', 'música tropical', 'salsa romantica']"
6ifUES3keWjwXgae8pXI3o,Me Rehúso,Danny Ocean,54+1,2019-03-22,77,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o,5H1nN1SzW0qNeUEZvuXjAj,['reggaeton']
6p8eFfPw3nQkf37aT3AkmK,Fear of the Dark - 2015 Remaster,Iron Maiden,Fear of the Dark (2015 Remaster),1992,68,https://open.spotify.com/track/6p8eFfPw3nQkf37aT3AkmK,6mdiAmATAx73kdxrNrnlao,"['heavy metal', 'metal', 'hard rock', 'rock']"
6wKGddG5QfyeAv3HxRLXWj,Gloria Maria,Lucho Bermúdez,Por Siempre,2015-09-15,18,https://open.spotify.com/track/6wKGddG5QfyeAv3HxRLXWj,5x1E6GVoNd2Haj7Jtvg3E0,"['música tropical', 'cumbia']"
6wPb3svGcLPWzZwavBH35y,colour of the wheat,ii,colour of the wheat,2023-06-23,38,https://open.spotify.com/track/6wPb3svGcLPWzZwavBH35y,6qQBfYaI0EVaThO0OH8LPk,[]
6xBb8VL1NIj6pq01KXwiAb,Cuando Me Dirá,Ñengo Flow,Real G 4 Life Part 2,2012-01-03,69,https://open.spotify.com/track/6xBb8VL1NIj6pq01KXwiAb,12vb80Km0Ew53ABfJOepVz,"['reggaeton', 'trap latino']"
6yDjqJeZMEECWBdBsq3gYr,Nuestro Anillito,Pastor Lopez,Historia Musical de Pastor López,2014-03-19,30,https://open.spotify.com/track/6yDjqJeZMEECWBdBsq3gYr,6Ud6RjvNXVe39mKiGUb7zE,"['cumbia', 'música tropical', 'merengue']"
6yUThsLfrRo6bncRQxEbDJ,Medea,Kerala Dust,Motions,2016-12-15,40,https://open.spotify.com/track/6yUThsLfrRo6bncRQxEbDJ,6lK8O3kyFThiTmgowQZGOH,"['downtempo', 'organic house']"
6yalDzJGNoUQ2qSDlAdqU8,"King Without a Crown - Live at Stubb's, Austin, TX - February 2005",Matisyahu,Live at Stubb's,2005-04-19,47,https://open.spotify.com/track/6yalDzJGNoUQ2qSDlAdqU8,5eyMzR1hYiEZtN2c9ly2kw,"['reggae', 'reggae rock']"
